epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.349,1.59553,3.37143,1.84147,0.33225,0.39534,0.29612,0.17977,1.46325,2.94245,1.82642,0.000100313,0.000100313,0.000100313
2,229.164,1.47921,2.60502,1.67773,0.40204,0.42305,0.30884,0.20748,1.21454,2.83155,1.57856,0.000200316,0.000200316,0.000200316
3,334.462,1.47969,2.49148,1.68862,0.24398,0.47228,0.34878,0.23362,1.28651,2.33252,1.65589,0.00029932,0.00029932,0.00029932
4,439.353,1.49055,2.4431,1.70065,0.31258,0.37524,0.29095,0.17876,1.26172,2.54232,1.68381,0.0002985,0.0002985,0.0002985
5,539.158,1.47569,2.32395,1.6813,0.28235,0.42792,0.30619,0.20701,1.24532,2.60598,1.65277,0.000297001,0.000297001,0.000297001
6,639.262,1.46456,2.27834,1.67504,0.44083,0.45211,0.44411,0.30714,1.23418,2.08582,1.60841,0.000295501,0.000295501,0.000295501
7,747.691,1.44548,2.22174,1.67621,0.53592,0.43206,0.4727,0.33616,1.20236,1.90948,1.59312,0.000294001,0.000294001,0.000294001
8,852.113,1.42561,2.14342,1.64081,0.40973,0.50071,0.43446,0.30362,1.13324,2.17462,1.51896,0.000292501,0.000292501,0.000292501
9,951.389,1.43222,2.12681,1.65396,0.457,0.52615,0.4986,0.34535,1.2147,1.91059,1.59089,0.000291001,0.000291001,0.000291001
10,1055.03,1.40751,2.04692,1.6454,0.47156,0.47202,0.46244,0.3321,1.12782,1.94944,1.52564,0.000289501,0.000289501,0.000289501
11,1156.22,1.40703,1.98292,1.63607,0.42651,0.55557,0.49525,0.35141,1.1103,1.70459,1.48175,0.000288001,0.000288001,0.000288001
12,1260.83,1.39158,1.95902,1.61357,0.45415,0.53845,0.50248,0.35727,1.15403,1.7657,1.52927,0.000286502,0.000286502,0.000286502
13,1364.46,1.38449,1.93817,1.61099,0.48143,0.57661,0.55394,0.40497,1.07596,1.61587,1.462,0.000285002,0.000285002,0.000285002
14,1467.57,1.38125,1.92164,1.62506,0.40174,0.61289,0.55249,0.3983,1.10469,1.62898,1.5011,0.000283502,0.000283502,0.000283502
15,1565.95,1.3721,1.86844,1.61895,0.38467,0.58085,0.51404,0.36184,1.23991,1.70816,1.56966,0.000282002,0.000282002,0.000282002
16,1665.2,1.37656,1.88478,1.61255,0.46332,0.57033,0.54443,0.39854,1.08831,1.59121,1.49183,0.000280502,0.000280502,0.000280502
17,1764.88,1.364,1.82839,1.59591,0.48979,0.59574,0.55996,0.41557,1.06123,1.55325,1.45326,0.000279002,0.000279002,0.000279002
18,1868.42,1.33658,1.8044,1.58108,0.47778,0.52643,0.52134,0.37967,1.14729,1.68241,1.50253,0.000277503,0.000277503,0.000277503
19,1968.96,1.35995,1.78258,1.59427,0.49769,0.5409,0.55071,0.40385,1.0704,1.60628,1.45713,0.000276003,0.000276003,0.000276003
20,2069.93,1.3374,1.74303,1.5719,0.41694,0.54507,0.5319,0.4032,1.02864,1.59665,1.45069,0.000274503,0.000274503,0.000274503
21,2169.28,1.335,1.73119,1.58309,0.49364,0.62876,0.59034,0.42851,1.08147,1.49588,1.46421,0.000273003,0.000273003,0.000273003
22,2272.25,1.32232,1.708,1.57471,0.59799,0.49112,0.58281,0.43361,1.02925,1.56593,1.46263,0.000271503,0.000271503,0.000271503
23,2375.71,1.3337,1.72569,1.57476,0.50545,0.59352,0.58396,0.43018,1.09741,1.43144,1.46604,0.000270003,0.000270003,0.000270003
24,2475.65,1.32246,1.69975,1.56345,0.46786,0.60014,0.56282,0.41718,1.10419,1.58426,1.49413,0.000268503,0.000268503,0.000268503
25,2574.72,1.30593,1.6407,1.5617,0.56237,0.64091,0.64287,0.48531,1.03616,1.3059,1.4309,0.000267004,0.000267004,0.000267004
26,2678.28,1.30922,1.63912,1.55996,0.60215,0.5892,0.59423,0.44865,1.05473,1.43346,1.46241,0.000265504,0.000265504,0.000265504
27,2776.85,1.3084,1.6231,1.55855,0.48067,0.5938,0.57306,0.43343,1.0333,1.55048,1.44162,0.000264004,0.000264004,0.000264004
28,2877.59,1.29645,1.5888,1.5415,0.56541,0.67151,0.65692,0.48772,1.06674,1.30907,1.43876,0.000262504,0.000262504,0.000262504
29,2982.4,1.29626,1.60053,1.53334,0.55218,0.67856,0.6601,0.49503,1.04105,1.30877,1.46537,0.000261004,0.000261004,0.000261004
30,3085.83,1.30104,1.5945,1.55334,0.5904,0.68063,0.66686,0.50191,1.06043,1.26103,1.44115,0.000259504,0.000259504,0.000259504
31,3190.09,1.30008,1.59578,1.54815,0.53785,0.62113,0.61862,0.47495,1.02377,1.3989,1.44344,0.000258004,0.000258004,0.000258004
32,3290.18,1.28122,1.58739,1.54434,0.51802,0.65905,0.63686,0.47962,1.05532,1.2828,1.44792,0.000256505,0.000256505,0.000256505
33,3390.97,1.29309,1.57479,1.54686,0.60981,0.636,0.66519,0.50531,1.00287,1.22477,1.42469,0.000255005,0.000255005,0.000255005
34,3492.54,1.27607,1.53449,1.52925,0.55331,0.65776,0.65382,0.50143,0.99747,1.24646,1.38938,0.000253505,0.000253505,0.000253505
35,3591.74,1.27286,1.51028,1.53218,0.57026,0.63385,0.67006,0.50513,1.0082,1.23554,1.41952,0.000252005,0.000252005,0.000252005
36,3691.97,1.27826,1.53553,1.53177,0.64428,0.55912,0.58421,0.44657,1.04484,1.59678,1.42282,0.000250505,0.000250505,0.000250505
37,3791.62,1.24803,1.48317,1.52084,0.52577,0.67535,0.63043,0.4833,0.99038,1.33674,1.4054,0.000249005,0.000249005,0.000249005
38,3890.24,1.26459,1.52351,1.52361,0.58154,0.67019,0.68325,0.51637,1.00801,1.21704,1.40007,0.000247506,0.000247506,0.000247506
39,3993.9,1.24416,1.46041,1.50795,0.599,0.62715,0.66532,0.51512,0.9657,1.25451,1.39454,0.000246006,0.000246006,0.000246006
40,4094.09,1.26696,1.46262,1.51753,0.57217,0.58222,0.60701,0.46695,0.97734,1.33028,1.39098,0.000244506,0.000244506,0.000244506
41,4194.89,1.24908,1.43467,1.50786,0.59103,0.66177,0.6859,0.53164,0.97464,1.18371,1.38423,0.000243006,0.000243006,0.000243006
42,4298.82,1.26388,1.45201,1.52209,0.53761,0.61486,0.62935,0.48878,0.96975,1.35736,1.38884,0.000241506,0.000241506,0.000241506
43,4398.19,1.24823,1.41112,1.50513,0.59482,0.65643,0.65505,0.50835,0.9477,1.26797,1.3565,0.000240006,0.000240006,0.000240006
44,4496.88,1.24334,1.39395,1.49708,0.63424,0.60613,0.65645,0.51058,0.97381,1.29602,1.39683,0.000238506,0.000238506,0.000238506
45,4595.74,1.23521,1.39835,1.49774,0.55663,0.65126,0.6257,0.48531,0.98483,1.33589,1.38116,0.000237007,0.000237007,0.000237007
46,4695.79,1.24162,1.39547,1.49476,0.53861,0.66819,0.6264,0.4743,0.96117,1.27959,1.38305,0.000235507,0.000235507,0.000235507
47,4794.16,1.23501,1.38497,1.49482,0.49261,0.68029,0.61699,0.46653,0.96706,1.35892,1.3889,0.000234007,0.000234007,0.000234007
48,4894.48,1.22256,1.33759,1.48576,0.53163,0.60685,0.61228,0.4712,0.9774,1.34969,1.38405,0.000232507,0.000232507,0.000232507
49,4993.62,1.2211,1.37458,1.48812,0.55823,0.67786,0.64144,0.48951,0.99194,1.27249,1.41216,0.000231007,0.000231007,0.000231007
50,5093.16,1.21667,1.35586,1.48407,0.55229,0.66092,0.68245,0.51909,1.01398,1.19886,1.39873,0.000229507,0.000229507,0.000229507
51,5192.74,1.21109,1.31599,1.47759,0.52185,0.69859,0.63421,0.47308,1.02358,1.31351,1.40482,0.000228007,0.000228007,0.000228007
52,5291.61,1.2032,1.3113,1.46767,0.58834,0.6648,0.65935,0.5044,0.98228,1.33531,1.3744,0.000226508,0.000226508,0.000226508
53,5390.55,1.21836,1.34535,1.48313,0.55669,0.66437,0.63274,0.49441,0.96404,1.33084,1.38726,0.000225008,0.000225008,0.000225008
54,5489.9,1.21034,1.30891,1.48154,0.58288,0.6827,0.66493,0.51687,0.95569,1.2087,1.35923,0.000223508,0.000223508,0.000223508
55,5589.5,1.20955,1.32027,1.47442,0.69845,0.61326,0.67416,0.51821,0.98391,1.25406,1.39553,0.000222008,0.000222008,0.000222008
56,5688.48,1.21362,1.31481,1.47176,0.53999,0.68482,0.64912,0.5054,0.9604,1.32721,1.37583,0.000220508,0.000220508,0.000220508
57,5786.66,1.19794,1.28267,1.46069,0.55896,0.6914,0.66924,0.50968,0.99822,1.25662,1.3959,0.000219008,0.000219008,0.000219008
58,5885.62,1.20449,1.30545,1.47308,0.61764,0.64163,0.66928,0.52216,0.98794,1.29035,1.38822,0.000217509,0.000217509,0.000217509
59,5986.03,1.19368,1.26501,1.46146,0.6487,0.61745,0.68345,0.52517,0.99085,1.23785,1.39545,0.000216009,0.000216009,0.000216009
60,6084.65,1.18528,1.25101,1.45146,0.63619,0.60659,0.67976,0.53099,0.99052,1.25108,1.3884,0.000214509,0.000214509,0.000214509
61,6183.42,1.17872,1.25244,1.45956,0.55427,0.7274,0.67988,0.5265,0.96229,1.19712,1.36117,0.000213009,0.000213009,0.000213009
62,6284.89,1.18463,1.24632,1.45271,0.6141,0.64529,0.67361,0.52038,0.97128,1.23323,1.36167,0.000211509,0.000211509,0.000211509
63,6386.34,1.17604,1.22538,1.44368,0.61502,0.67115,0.67193,0.51812,0.96286,1.20986,1.36868,0.000210009,0.000210009,0.000210009
64,6485.59,1.18919,1.24305,1.45001,0.58543,0.67344,0.65435,0.50664,0.96583,1.22489,1.39147,0.000208509,0.000208509,0.000208509
65,6586.8,1.15826,1.21823,1.43755,0.61191,0.6639,0.67534,0.52766,0.94911,1.1751,1.35935,0.00020701,0.00020701,0.00020701
66,6686.95,1.15774,1.1871,1.43045,0.64767,0.62324,0.66846,0.52188,0.94474,1.20728,1.36013,0.00020551,0.00020551,0.00020551
67,6787.41,1.1684,1.20043,1.45348,0.64166,0.65887,0.68473,0.53126,0.96494,1.1884,1.39765,0.00020401,0.00020401,0.00020401
68,6887.73,1.14967,1.1959,1.43747,0.63855,0.66324,0.67293,0.52173,0.95675,1.20278,1.38105,0.00020251,0.00020251,0.00020251
69,6988.21,1.15734,1.16925,1.42416,0.58418,0.69539,0.65319,0.50209,0.96623,1.25362,1.3859,0.00020101,0.00020101,0.00020101
70,7087.28,1.14921,1.17672,1.42326,0.62358,0.65067,0.67641,0.5295,0.93754,1.14414,1.35686,0.00019951,0.00019951,0.00019951
71,7187.13,1.1609,1.17686,1.44319,0.65725,0.65002,0.68957,0.54222,0.93104,1.20393,1.35537,0.00019801,0.00019801,0.00019801
72,7291.77,1.15802,1.15852,1.42768,0.61522,0.67262,0.68572,0.53424,0.91562,1.19795,1.33701,0.000196511,0.000196511,0.000196511
73,7392.1,1.15518,1.18114,1.428,0.61294,0.68522,0.68915,0.53959,0.93281,1.16881,1.35352,0.000195011,0.000195011,0.000195011
74,7497.96,1.14956,1.16385,1.43523,0.60247,0.63514,0.66419,0.52073,0.92202,1.23021,1.33847,0.000193511,0.000193511,0.000193511
75,7596.78,1.13917,1.13083,1.41128,0.57943,0.70783,0.67558,0.52482,0.94863,1.2271,1.35361,0.000192011,0.000192011,0.000192011
76,7696.74,1.14462,1.18181,1.43184,0.63074,0.63897,0.65981,0.51565,0.95834,1.27595,1.3584,0.000190511,0.000190511,0.000190511
77,7796.38,1.12805,1.11035,1.40721,0.69029,0.63825,0.70439,0.5475,0.95851,1.15614,1.36889,0.000189011,0.000189011,0.000189011
78,7899.91,1.13407,1.12011,1.40855,0.63413,0.63967,0.68057,0.53272,0.95671,1.28821,1.37931,0.000187512,0.000187512,0.000187512
79,7999.36,1.12049,1.1058,1.40108,0.61482,0.64033,0.66667,0.51831,0.94334,1.33205,1.357,0.000186012,0.000186012,0.000186012
80,8100.44,1.12096,1.09806,1.40139,0.63829,0.64826,0.67391,0.53118,0.93064,1.18918,1.35641,0.000184512,0.000184512,0.000184512
81,8200.7,1.13652,1.1246,1.41718,0.656,0.66395,0.68166,0.53665,0.95908,1.26179,1.3741,0.000183012,0.000183012,0.000183012
82,8300.62,1.10992,1.11275,1.39897,0.57929,0.70095,0.69204,0.5469,0.93342,1.24586,1.35564,0.000181512,0.000181512,0.000181512
83,8399.76,1.12048,1.10991,1.40201,0.63054,0.66011,0.67376,0.52907,0.93764,1.27664,1.36361,0.000180012,0.000180012,0.000180012
84,8501.33,1.12188,1.10087,1.40765,0.55753,0.7328,0.67762,0.52409,0.97016,1.25835,1.39925,0.000178512,0.000178512,0.000178512
85,8601.57,1.11921,1.08836,1.40439,0.62932,0.66588,0.67748,0.53113,0.94062,1.26485,1.35779,0.000177013,0.000177013,0.000177013
